1597094331 INTERNAL *** MONITORD_STARTED ***
1597094328 INTERNAL *** DAGMAN_STARTED 93.0 ***
1597094332 create_dir_harry-potter-text-analysis_0_local SUBMIT 94.0 local - 1
1597094333 create_dir_harry-potter-text-analysis_0_local EXECUTE 94.0 local - 1
1597094335 create_dir_harry-potter-text-analysis_0_local JOB_TERMINATED 94.0 local - 1
1597094337 create_dir_harry-potter-text-analysis_0_local JOB_SUCCESS 0 local - 1
1597094337 create_dir_harry-potter-text-analysis_0_local POST_SCRIPT_STARTED 94.0 local - 1
1597094338 create_dir_harry-potter-text-analysis_0_local POST_SCRIPT_TERMINATED 94.0 local - 1
1597094342 create_dir_harry-potter-text-analysis_0_local POST_SCRIPT_SUCCESS 0 local - 1
1597094347 stage_in_remote_local_2_0 SUBMIT 95.0 local - 2
1597094347 stage_in_remote_local_1_0 SUBMIT 96.0 local - 3
1597094347 stage_in_remote_local_0_0 SUBMIT 97.0 local - 4
1597094347 stage_in_local_local_0_0 SUBMIT 98.0 local - 5
1597094349 stage_in_remote_local_1_0 EXECUTE 96.0 local - 3
1597094349 stage_in_local_local_0_0 EXECUTE 98.0 local - 5
1597094349 stage_in_remote_local_2_0 EXECUTE 95.0 local - 2
1597094349 stage_in_remote_local_0_0 EXECUTE 97.0 local - 4
1597094352 stage_in_remote_local_2_0 JOB_TERMINATED 95.0 local - 2
1597094352 stage_in_remote_local_2_0 JOB_SUCCESS 0 local - 2
1597094352 stage_in_remote_local_2_0 POST_SCRIPT_STARTED 95.0 local - 2
1597094352 stage_in_local_local_0_0 JOB_TERMINATED 98.0 local - 5
1597094352 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 5
1597094352 stage_in_local_local_0_0 POST_SCRIPT_STARTED 98.0 local - 5
1597094352 stage_in_remote_local_0_0 JOB_TERMINATED 97.0 local - 4
1597094352 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 4
1597094352 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 97.0 local - 4
1597094352 stage_in_remote_local_1_0 JOB_TERMINATED 96.0 local - 3
1597094352 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 3
1597094352 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 96.0 local - 3
1597094353 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 98.0 local - 5
1597094357 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 5
1597094353 stage_in_remote_local_2_0 POST_SCRIPT_TERMINATED 95.0 local - 2
1597094357 stage_in_remote_local_2_0 POST_SCRIPT_SUCCESS 0 local - 2
1597094353 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 97.0 local - 4
1597094357 stage_in_remote_local_0_0 POST_SCRIPT_SUCCESS 0 local - 4
1597094353 stage_in_remote_local_1_0 POST_SCRIPT_TERMINATED 96.0 local - 3
1597094357 stage_in_remote_local_1_0 POST_SCRIPT_SUCCESS 0 local - 3
1597094363 word_count_ID0000001 SUBMIT 99.0 condorpool - 6
1597094368 word_count_ID0000001 EXECUTE 99.0 condorpool - 6
1597094370 word_count_ID0000001 JOB_TERMINATED 99.0 condorpool - 6
1597094373 word_count_ID0000001 JOB_SUCCESS 0 condorpool - 6
1597094373 word_count_ID0000001 POST_SCRIPT_STARTED 99.0 condorpool - 6
1597094373 word_count_ID0000001 POST_SCRIPT_TERMINATED 99.0 condorpool - 6
1597094378 word_count_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 6
1597094383 clean_up_local_level_3_0 SUBMIT 100.0 local - 7
1597094383 stage_out_local_local_0_0 SUBMIT 101.0 local - 8
1597094383 sort_ID0000002 SUBMIT 102.0 condorpool - 9
1597094385 clean_up_local_level_3_0 EXECUTE 100.0 local - 7
1597094385 stage_out_local_local_0_0 EXECUTE 101.0 local - 8
1597094386 sort_ID0000002 EXECUTE 102.0 condorpool - 9
1597094387 sort_ID0000002 JOB_TERMINATED 102.0 condorpool - 9
1597094388 sort_ID0000002 JOB_SUCCESS 0 condorpool - 9
1597094388 sort_ID0000002 POST_SCRIPT_STARTED 102.0 condorpool - 9
1597094388 stage_out_local_local_0_0 JOB_TERMINATED 101.0 local - 8
1597094388 stage_out_local_local_0_0 JOB_SUCCESS 0 local - 8
1597094388 stage_out_local_local_0_0 POST_SCRIPT_STARTED 101.0 local - 8
1597094389 stage_out_local_local_0_0 POST_SCRIPT_TERMINATED 101.0 local - 8
1597094393 stage_out_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 8
1597094389 sort_ID0000002 POST_SCRIPT_TERMINATED 102.0 condorpool - 9
1597094393 sort_ID0000002 POST_SCRIPT_SUCCESS 0 condorpool - 9
